"timestamp","deposits_rate","mortgage_value","mortgage_rate","gdp_deflator","gdp_annual_growth","balance_trade","balance_trade_growth","eurrub","usdrub","rentincrease","average_provision_of_build_contract","micex","micex_rgbi_tr","micex_cbi_tr"
2010-01-01,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,43.4,29.9,41.1228571428571,5,1444.78,130.32,175.15
2010-01-02,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,43.4,29.9,41.1228571428571,5,1444.78,130.32,175.15
2010-01-03,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,43.4,29.9,41.1228571428571,5,1444.78,130.32,178.66
2010-01-04,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,43.4054,29.905,41.1228571428571,5,1444.78,130.32,183.44
2010-01-05,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.96,29.836,41.1228571428571,5,1444.78,130.32,183.44
2010-01-06,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.9138,29.715,41.1228571428571,5,1444.78,130.32,184.87
2010-01-07,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.7143,29.775,41.1228571428571,5,1444.78,130.32,187.97
2010-01-08,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.9359,29.775,41.1228571428571,5,1444.78,130.32,187.97
2010-01-09,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.9359,29.775,41.1228571428571,5,1444.78,130.32,190.77
2010-01-10,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.9359,29.775,41.1228571428571,5,1444.78,130.32,192.39
2010-01-11,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.5676,29.327,41.1228571428571,5,1444.78,130.32,193.56
2010-01-12,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.8065,29.5095,41.1228571428571,5,1427.67,129.02,194.05
2010-01-13,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.9279,29.5967,41.1228571428571,5,1435.01,129.68,172.88
2010-01-14,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.6852,29.475,41.1228571428571,5,1455.65,128.88,173.43
2010-01-15,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.5022,29.545,41.1228571428571,5,1452.67,129.87,173.55
2010-01-16,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.5022,29.545,41.1228571428571,5,1452.67,129.87,173.55
2010-01-17,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.5022,29.545,41.1228571428571,5,1452.67,129.87,173.55
2010-01-18,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.6,29.5909,41.1228571428571,5,1479.53,130.12,173.83
2010-01-19,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.3205,29.606,41.1228571428571,5,1484.03,130.3,174.17
2010-01-20,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.004,29.7513,41.1228571428571,5,1461.23,131.02,174.67
2010-01-21,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,41.956,29.756,41.1228571428571,5,1435.9,131.17,174.85
2010-01-22,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.2582,29.84,41.1228571428571,5,1410.38,131.03,174.72
2010-01-23,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.2582,29.84,41.1228571428571,5,1410.38,131.03,174.72
2010-01-24,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.2582,29.84,41.1228571428571,5,1410.38,131.03,174.72
2010-01-25,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.6453,30.1172,41.1228571428571,5,1415.86,130.75,174.91
2010-01-26,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.7602,30.3188,41.1228571428571,5,1384.79,130.93,174.67
2010-01-27,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.5526,30.3078,41.1228571428571,5,1391.25,130.75,174.67
2010-01-28,6,142968,13.72,70.8,-0.078208582,13.7582425149701,4.03018181818182,42.4171,30.3568,41.1228571428571,5,1406.55,131.22,174.93
